msa_name,year,msa_no,normusaspminpop,normusasminorestab,MinorityUsasp,normusaswompop,normusaswomestab,WomanUsasp,normawardestab,normawardpop,AwardAmount,normsampop1000,normsamestab,ann_sam_registrations,normwompop1000,normwomestab,Woman,normminorpop1000,normminorest,Minority,normcdfipop10000,normcdfiestab10000,cumulativecdfi,normmdipop10000,normmdiestab10000,UnemploymentRate,UnemploymentPerCapita,AvgAverageWeeklyWage,EstablishmentCount,AvgPopulation
"Corvalis, OR MSA",2019,18700,362,12056,1072330,0,0,0,80754,2426,7182852,19,1,57,28,1,83,23,1,67,,,,,,12,0,1026,11386,94746
"Corvalis, OR MSA",2020,18700,392,12768,1159361,0,0,0,254538,7806,23111824,19,1,56,18,1,54,19,1,56,,,,,,23,0,1118,11626,94746
"Corvalis, OR MSA",2021,18700,343,8056,1014172,0,0,0,51138,2174,6437662,7,0,21,8,0,24,10,0,30,,,,,,15,0,1113,9064,94746
"Cumberland, MD-WV MSA",2019,19060,0,0,0,0,0,0,4924,107,85406,21,1,17,54,2,43,39,2,31,,,,,,21,0,792,8325,95565
"Cumberland, MD-WV MSA",2020,19060,0,0,0,0,0,0,4515,96,76544,23,1,18,41,2,33,45,2,36,,,,,,31,0,855,8138,95565
"Cumberland, MD-WV MSA",2021,19060,0,0,0,0,0,0,0,0,0,10,0,8,23,1,18,23,1,18,,,,,,23,0,861,6096,95565
DE NONMETROPOLITAN AREA,2019,99008,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
DE NONMETROPOLITAN AREA,2020,99008,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
DE NONMETROPOLITAN AREA,2021,99008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX MSA",2019,19100,349098,14202321,1566652766,36990,1504863,166000857,23664160,581673,2610384820,680,28,3052,2857,116,12823,3537,144,15874,0,0,6,0,0,13,0,1233,753697,7665025
"Dallas-Fort Worth-Arlington, TX MSA",2020,19100,607666,23960888,2727033008,46276,1824692,207671614,32915558,834763,3746180572,1045,41,4689,3178,125,14261,4017,158,18028,0,0,7,0,0,29,0,1302,777643,7665025
"Dallas-Fort Worth-Arlington, TX MSA",2021,19100,138770,3947335,622759294,7883,224244,35378345,6179321,217236,974893075,496,14,2225,1541,44,6914,1980,56,8885,,,,0,0,21,0,1332,606366,7665025
"Dalton, GA MSA",2019,19140,0,0,0,0,0,0,0,0,0,3,0,7,13,1,37,0,0,1,,,,,,19,0,839,10924,143396
"Dalton, GA MSA",2020,19140,0,0,0,0,0,0,8535,167,460283,8,0,23,19,1,53,5,0,15,,,,,,29,0,874,11219,143396
"Dalton, GA MSA",2021,19140,0,0,0,0,0,0,0,0,0,4,0,10,12,0,33,4,0,12,,,,,,14,0,902,8888,143396
"Danville, IL MSA",2019,19180,0,0,0,0,0,0,104034,1912,1478424,9,0,7,78,4,60,31,2,24,,,,,,20,0,845,5457,74245
"Danville, IL MSA",2020,19180,0,0,0,0,0,0,117109,2152,1664515,17,1,13,78,4,60,31,2,24,,,,,,35,0,899,5458,74245
"Danville, IL MSA",2021,19180,0,0,0,0,0,0,0,0,0,6,0,5,39,2,30,16,1,12,,,,,,25,0,908,4118,74245
"Danville, VA MSA",2019,19260,,,0,,,0,,,0,,,19,,,44,,,59,,,,,,,,,,
"Danville, VA MSA",2020,19260,,,0,,,0,,,0,,,17,,,24,,,49,,,,,,,,,,
"Danville, VA MSA",2021,19260,,,0,,,0,,,0,,,8,,,12,,,25,,,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL MSA",2019,19340,16769,639084,22520765,288,10993,387388,678885,17813,23923307,64,2,86,156,6,209,187,7,251,0,0,2,,,16,0,976,40032,381422
"Davenport-Moline-Rock Island, IA-IL MSA",2020,19340,15742,599015,21142671,245,9315,328765,632499,16622,22324518,104,4,140,203,8,273,203,8,273,0,0,2,,,32,0,1073,40096,381422
"Davenport-Moline-Rock Island, IA-IL MSA",2021,19340,1628,46224,2186456,0,0,0,49875,1757,2359122,53,2,71,99,3,133,94,3,126,,,,,,21,0,1025,30226,381422
"Dayton, OH MSA",2019,19380,,1669034,79581242,,1136712,54199598,10149875,,483956301,,7,326,,21,1004,,22,1063,,0,3,,,16,0,969,72478,
"Dayton, OH MSA",2020,19380,,3073137,148702699,,2310838,111816654,12565950,,608040158,,9,425,,21,1032,,24,1138,,0,3,,,32,0,1039,73552,
"Dayton, OH MSA",2021,19380,,593305,38964339,,444380,29183886,3203941,,210413453,,3,183,,7,466,,8,549,,,,,,20,0,1045,56152,
"Decatur, AL MSA",2019,19460,1191,56226,2567833,0,0,0,74511,1578,3402894,25,1,54,79,4,170,46,2,99,,,,,,11,0,891,13153,155253
"Decatur, AL MSA",2020,19460,1966,91711,4238712,0,0,0,152103,3260,7029923,26,1,57,90,4,195,50,2,107,,,,,,18,0,955,13312,155253
